# x/m, y/m, cos, sin, vel/(m/s)
-24.908, 9.86411, -0.97515, 0.221544, 6.01615
-24.9618, 9.87175, -0.975459, 0.220179, 6.0304
-25.0158, 9.87932, -0.975767, 0.21881, 6.04461
-25.076, 9.88767, -0.976108, 0.217286, 6.06037
-25.1303, 9.89513, -0.976413, 0.215909, 6.07451
-25.1907, 9.90333, -0.976751, 0.214376, 6.09019
-25.2453, 9.91066, -0.977054, 0.212991, 6.10426
-25.2939, 9.91713, -0.977322, 0.211758, 6.11674
-25.361, 9.92592, -0.977689, 0.210057, 6.13387
-25.4527, 9.93774, -0.978186, 0.207729, 6.15716
-25.4772, 9.94088, -0.978318, 0.207107, 6.16335
-25.5386, 9.94866, -0.978647, 0.205548, 6.1788
-25.5941, 9.95559, -0.978942, 0.20414, 6.19267
-25.6558, 9.96321, -0.979267, 0.202573, 6.20805
-25.7115, 9.97001, -0.979559, 0.201158, 6.22186
-25.7674, 9.97673, -0.979849, 0.19974, 6.23563
-25.8296, 9.98413, -0.98017, 0.19816, 6.25091
-25.8795, 9.98999, -0.980425, 0.196893, 6.2631
-25.9482, 9.99795, -0.980774, 0.195146, 6.27982
-26.0046, 10.0044, -0.981058, 0.193712, 6.29347
-26.0674, 10.0115, -0.981372, 0.192116, 6.30861
-26.1304, 10.0185, -0.981684, 0.190515, 6.3237
-26.1873, 10.0247, -0.981964, 0.18907, 6.33726
-26.2505, 10.0315, -0.982272, 0.187461, 6.35228
-26.3076, 10.0376, -0.982548, 0.186009, 6.36578
-26.3649, 10.0436, -0.982822, 0.184554, 6.37924
-26.4222, 10.0495, -0.983095, 0.183095, 6.39268
-26.4733, 10.0547, -0.983336, 0.181796, 6.4046
-26.5438, 10.0618, -0.983666, 0.180004, 6.42096
-26.608, 10.0681, -0.983963, 0.178371, 6.43579
-26.6659, 10.0737, -0.984229, 0.176898, 6.44911
-26.7239, 10.0793, -0.984493, 0.175422, 6.4624
-26.7821, 10.0847, -0.984756, 0.173942, 6.47566
-26.8468, 10.0907, -0.985046, 0.172294, 6.49037
-26.9118, 10.0966, -0.985333, 0.170641, 6.50504
-26.9703, 10.1018, -0.98559, 0.169151, 6.51822
-27.029, 10.1069, -0.985845, 0.167657, 6.53137
-27.0878, 10.112, -0.986099, 0.166159, 6.54449
-27.1468, 10.117, -0.986351, 0.164659, 6.55759
-27.2124, 10.1224, -0.986628, 0.162988, 6.57211
-27.2848, 10.1283, -0.986931, 0.161145, 6.58805
-27.3442, 10.133, -0.987176, 0.159634, 6.60106
-27.4103, 10.1381, -0.987447, 0.157951, 6.61549
-27.4699, 10.1427, -0.987689, 0.156433, 6.62845
-27.6029, 10.1523, -0.988219, 0.153048, 6.65718
-27.6162, 10.1533, -0.988271, 0.152708, 6.66004
-27.6496, 10.1557, -0.988402, 0.15186, 6.66719
-27.7164, 10.1604, -0.988662, 0.150159, 6.68148
-27.7766, 10.1645, -0.988894, 0.148625, 6.69431
-27.8504, 10.1694, -0.989174, 0.146746, 6.70996
-27.9177, 10.1737, -0.989427, 0.145034, 6.72415
-27.9783, 10.1775, -0.989652, 0.143489, 6.7369
-28.0459, 10.1817, -0.9899, 0.14177, 6.75103
-28.1136, 10.1857, -0.990145, 0.140047, 6.76514
-28.1814, 10.1897, -0.990388, 0.13832, 6.77922
-28.2426, 10.1931, -0.990604, 0.136763, 6.79186
-28.3039, 10.1965, -0.990818, 0.135203, 6.80448
-28.3653, 10.1997, -0.99103, 0.13364, 6.81708
-28.4405, 10.2036, -0.991286, 0.131725, 6.83245
-28.509, 10.207, -0.991516, 0.129981, 6.84639
-28.5777, 10.2103, -0.991744, 0.128233, 6.8603
-28.6397, 10.2131, -0.991947, 0.126657, 6.87279
-28.7086, 10.2162, -0.992169, 0.124903, 6.88665
-28.7777, 10.2191, -0.992389, 0.123145, 6.90048
-28.847, 10.222, -0.992606, 0.121383, 6.91428
-28.9442, 10.2257, -0.992905, 0.118911, 6.93356
-28.9789, 10.227, -0.99301, 0.118027, 6.94043
-29.0486, 10.2295, -0.993219, 0.116256, 6.95415
-29.1114, 10.2317, -0.993405, 0.114659, 6.96648
-29.2094, 10.2348, -0.993689, 0.112169, 6.98562
-29.2514, 10.2361, -0.993809, 0.1111, 6.9938
-29.3146, 10.2379, -0.993988, 0.109494, 7.00605
-29.3779, 10.2397, -0.994163, 0.107885, 7.01829
-29.4625, 10.2418, -0.994394, 0.105737, 7.03457
-29.4978, 10.2427, -0.994489, 0.10484, 7.04134
-29.5614, 10.2441, -0.994658, 0.103224, 7.05352
-29.6322, 10.2456, -0.994843, 0.101425, 7.06702
-29.6961, 10.2469, -0.995007, 0.0998034, 7.07915
-29.7671, 10.2481, -0.995187, 0.0979986, 7.0926
-29.8312, 10.2492, -0.995345, 0.0963715, 7.10468
-29.9026, 10.2502, -0.995519, 0.0945604, 7.11809
-29.9669, 10.251, -0.995673, 0.092928, 7.13013
-30.0457, 10.2518, -0.995857, 0.0909295, 7.14482
-30.1102, 10.2524, -0.996006, 0.0892914, 7.15682
-30.1821, 10.2529, -0.996167, 0.0874684, 7.17013
-30.2541, 10.2533, -0.996326, 0.0856426, 7.18341
-30.319, 10.2536, -0.996466, 0.0839965, 7.19534
-30.3913, 10.2537, -0.996619, 0.0821649, 7.20858
-30.4564, 10.2538, -0.996753, 0.0805139, 7.22047
-30.5217, 10.2537, -0.996886, 0.0788605, 7.23234
-30.5943, 10.2535, -0.997029, 0.0770207, 7.24551
-30.6598, 10.2532, -0.997156, 0.0753624, 7.25734
-30.7327, 10.2527, -0.997294, 0.0735171, 7.27046
-30.7984, 10.2522, -0.997415, 0.0718538, 7.28225
-30.8642, 10.2515, -0.997534, 0.0701884, 7.29402
-30.9374, 10.2507, -0.997662, 0.0683353, 7.30708
-31.0034, 10.2498, -0.997775, 0.066665, 7.31881
-31.0769, 10.2487, -0.997898, 0.0648065, 7.33182
-31.1432, 10.2476, -0.998005, 0.0631314, 7.34351
-31.2095, 10.2464, -0.99811, 0.0614543, 7.35518
-31.2834, 10.2449, -0.998223, 0.0595881, 7.36813
-31.3499, 10.2434, -0.998322, 0.0579058, 7.37977
-31.424, 10.2417, -0.998429, 0.0560342, 7.39267
-31.5131, 10.2393, -0.998553, 0.0537843, 7.40813
-31.5651, 10.2379, -0.998622, 0.0524701, 7.41712
-31.6395, 10.2358, -0.998719, 0.0505903, 7.42938
-31.7365, 10.2327, -0.99884, 0.0481423, 7.44486
